text,label
"URGENT: Your account will be suspended in 24 hours. Click here to verify: http://bank-verify.com",1
"Congratulations! You won ₹50,000. Claim now: www.prize-claim.in",1
"Your OTP is 123456. Do not share with anyone. Bank will never ask for OTP.",1
"Payment failed. Update your card details immediately: http://secure-payment.com",1
"Your SIM card will be deactivated. Call +91-9876543210 to reactivate.",1
"Limited time offer! Get 90% discount. Act now before it expires.",1
"Your account has been compromised. Verify your identity: www.secure-bank.com",1
"You have received ₹10,000. Click to claim: http://money-transfer.in",1
"Your package delivery failed. Pay ₹99 to reschedule: www.delivery-pay.com",1
"Your Netflix subscription expired. Renew now: http://netflix-renew.com",1
"Your bank account needs verification. Send your details to verify@bank.com",1
"WARNING: Unusual activity detected. Verify account: http://bank-security.com",1
"Your credit card payment is due. Pay ₹5,000 immediately: www.payment-gateway.com",1
"You have 3 unread messages. Click here: http://sms-reader.com",1
"Your insurance claim is approved. Claim ₹25,000: www.insurance-claim.in",1
"Your order #12345 has been shipped. Track at: https://tracking.example.com",0
"Your appointment is scheduled for tomorrow at 2 PM. See you then!",0
"Thank you for your payment of ₹500. Transaction ID: TXN123456789",0
"Your monthly statement is ready. View at: https://bank.example.com/statements",0
"Your password was changed successfully. If this wasn't you, contact support.",0
"Welcome to our service! We're excited to have you on board.",0
"Your subscription will renew on 2024-12-31. No action needed.",0
"Your delivery is out for delivery. Expected by 6 PM today.",0
"Your account balance is ₹10,000. Last updated: 2024-01-15",0
"Your login was successful from New Delhi. If this wasn't you, please contact us.",0
"Your bill payment of ₹2,000 was successful. Thank you!",0
"Your profile has been updated successfully.",0
"Your request has been received. We'll get back to you within 24 hours.",0
"Your verification code is 456789. Valid for 10 minutes.",0
"Your transaction of ₹1,500 was completed. Receipt: RCP123456",0


